objectid,district,shape_st_area,shape_st_length,created_user,created_date,last_edited_user,last_edited_date,population,district_cpd,placename,type,total23,2024,2015,2016,2017,2018,total19,total20,total21,total22,2025,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
7210,117,164950530.96148637,85642.31932851662,GIS,1667323453000,GIS,1667323453000,24000,CPDS,"Bond Park, Park Village, Brookstone and Parkway Pointe",Property,131,104,143,134,130,135,105,101,153,97,17,108,351,117,-7.6,2.9,11.3,-8,437.5,420.8,637.5,404.2,450,487.5
7214,111,232135521.46403223,259080.19435952336,GIS,1667323453000,GIS,1667323453000,14000,CPDN,"Harrison Park, Northwoods and Weston Parkway",Property,386,436,169,148,192,179,157,235,219,206,33,420,660,220,31.2,167.5,103.9,91,1121.4,1678.6,1564.3,1471.4,3000,1571.4
7215,122,236126387.25935683,269233.07073789317,GIS,1667323453000,GIS,1667323453000,23000,CPDN,"Cary Park Town Center, Southwest Cary and Cary Park",Property,167,171,81,73,83,65,91,88,121,131,20,173,340,113.3,44,90.1,32.1,53,395.7,382.6,526.1,569.6,752.2,492.6
7216,1,55350782.02761763,84698.1217344513,GIS,1667323453000,GIS,1667323453000,1000,MPD1,Unknown,Property,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
7217,121,153498558.5423196,145652.9093462839,GIS,1667323453000,GIS,1667323453000,18000,CPDN,"Carpenter Village, Preston and Green Hope HS",Property,109,150,110,78,113,78,66,91,129,131,13,148,351,117,98.5,124.2,13,26,366.7,505.6,716.7,727.8,822.2,650
7218,120,70684922.56457101,38277.52157557604,GIS,1667323453000,GIS,1667323453000,7000,CPDS,"Cary Towne Center, Cary Village Square and Chatham Square",Property,139,112,303,260,222,238,199,105,100,89,19,106,294,98,-55.3,-46.7,19.1,8,2842.9,1500,1428.6,1271.4,1514.3,1400
7219,118,126501895.88297781,96958.1343753846,GIS,1667323453000,GIS,1667323453000,11000,CPDS,"Southeast Cary, Walnut Plaza and Crossroads",Property,389,543,291,248,215,225,231,249,248,211,55,529,708,236,-8.7,129,150.7,124,2100,2263.6,2254.5,1918.2,4809.1,2145.5
7222,119,136936956.09491783,150601.04170642185,GIS,1667323453000,GIS,1667323453000,19000,CPDN,"Carolina Preserve, Cary Park and Panther Creek HS",Property,215,261,122,103,191,124,193,209,189,137,16,239,535,178.3,-29,23.8,74.5,34,1015.8,1100,994.7,721.1,1257.9,938.4
7223,115,138318320.2306666,58744.41968620181,GIS,1667323453000,GIS,1667323453000,14000,CPDS,"Central Cary, Ashley Village, Scottish Hills and MacGregor Downs",Property,102,110,136,99,112,105,97,93,120,94,12,107,307,102.3,-3.1,10.3,13.8,5,692.9,664.3,857.1,671.4,764.3,730.7
7225,113,61641277.27073684,89545.54325973522,GIS,1667323453000,GIS,1667323453000,8000,CPDN,"Central Cary, Town Hall Campus and Harrison Pointe Shopping Center",Property,160,84,80,107,76,104,82,113,105,97,11,77,315,105,18.3,-6.1,-20.6,-27,1025,1412.5,1312.5,1212.5,962.5,1312.5
7227,116,220165713.03288692,265668.4216562956,GIS,1667323453000,GIS,1667323453000,15000,CPDS,"Regency Park, Waverly Place, MacGregor Park and Crescent Commons",Property,193,257,181,175,189,223,211,203,203,156,32,248,562,187.3,-26.1,17.5,59,32,1406.7,1353.3,1353.3,1040,1653.3,1248.7
7229,112,71840612.62404658,46671.97848203181,GIS,1667323453000,GIS,1667323453000,8000,CPDS,"Southeast Cary, South Hills Shopping Center and Aurella",Property,102,114,133,110,104,82,105,143,142,94,11,107,379,126.3,-10.5,1.9,13.8,-15,1312.5,1787.5,1775,1175,1337.5,1578.8
7232,114,90277126.29940057,53902.22708201789,GIS,1667323453000,GIS,1667323453000,12000,CPDN,"Maynard Loop, Maynard Crossing and Weatherfield Industrial Park",Property,131,81,149,127,141,88,90,117,136,95,9,84,348,116,5.6,-6.7,-11.6,-28,750,975,1133.3,791.7,700,966.7
NA,1B,NA,NA,NA,NA,NA,NA,NA,NA,NA,Property,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA
