category,description,month,count
Aggravated Assault,ASSAULT - AGGRAVATED,2015-01-01,2
Aggravated Assault,ASSAULT - AGGRAVATED,2015-02-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2015-03-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2015-05-01,6
Aggravated Assault,ASSAULT - AGGRAVATED,2015-07-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2015-08-01,7
Aggravated Assault,ASSAULT - AGGRAVATED,2015-09-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2015-10-01,5
Aggravated Assault,ASSAULT - AGGRAVATED,2015-12-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2016-01-01,3
Aggravated Assault,ASSAULT - AGGRAVATED,2016-02-01,2
Aggravated Assault,ASSAULT - AGGRAVATED,2016-03-01,3
Aggravated Assault,ASSAULT - AGGRAVATED,2016-04-01,2
Aggravated Assault,ASSAULT - AGGRAVATED,2016-05-01,3
Aggravated Assault,ASSAULT - AGGRAVATED,2016-06-01,7
Aggravated Assault,ASSAULT - AGGRAVATED,2016-07-01,3
Aggravated Assault,ASSAULT - AGGRAVATED,2016-08-01,6
Aggravated Assault,ASSAULT - AGGRAVATED,2016-09-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2016-10-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2016-11-01,3
Aggravated Assault,ASSAULT - AGGRAVATED,2016-12-01,2
Aggravated Assault,ASSAULT - AGGRAVATED,2017-01-01,6
Aggravated Assault,ASSAULT - AGGRAVATED,2017-02-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2017-03-01,2
Aggravated Assault,ASSAULT - AGGRAVATED,2017-04-01,2
Aggravated Assault,ASSAULT - AGGRAVATED,2017-05-01,7
Aggravated Assault,ASSAULT - AGGRAVATED,2017-06-01,2
Aggravated Assault,ASSAULT - AGGRAVATED,2017-07-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2017-08-01,5
Aggravated Assault,ASSAULT - AGGRAVATED,2017-09-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2017-10-01,7
Aggravated Assault,ASSAULT - AGGRAVATED,2017-11-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2017-12-01,3
Aggravated Assault,ASSAULT - AGGRAVATED,2018-01-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2018-02-01,6
Aggravated Assault,ASSAULT - AGGRAVATED,2018-03-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2018-04-01,3
Aggravated Assault,ASSAULT - AGGRAVATED,2018-05-01,5
Aggravated Assault,ASSAULT - AGGRAVATED,2018-06-01,7
Aggravated Assault,ASSAULT - AGGRAVATED,2018-07-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2018-08-01,1
Aggravated Assault,ASSAULT - AGGRAVATED,2018-09-01,1
Aggravated Assault,ASSAULT - AGGRAVATED,2018-10-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2018-11-01,7
Aggravated Assault,ASSAULT - AGGRAVATED,2018-12-01,3
Aggravated Assault,ASSAULT - AGGRAVATED,2019-01-01,5
Aggravated Assault,ASSAULT - AGGRAVATED,2019-02-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2019-03-01,3
Aggravated Assault,ASSAULT - AGGRAVATED,2019-04-01,3
Aggravated Assault,ASSAULT - AGGRAVATED,2019-05-01,3
Aggravated Assault,ASSAULT - AGGRAVATED,2019-06-01,3
Aggravated Assault,ASSAULT - AGGRAVATED,2019-07-01,3
Aggravated Assault,ASSAULT - AGGRAVATED,2019-08-01,7
Aggravated Assault,ASSAULT - AGGRAVATED,2019-09-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2019-10-01,6
Aggravated Assault,ASSAULT - AGGRAVATED,2019-11-01,3
Aggravated Assault,ASSAULT - AGGRAVATED,2019-12-01,3
Aggravated Assault,ASSAULT - AGGRAVATED,2020-01-01,2
Aggravated Assault,ASSAULT - AGGRAVATED,2020-02-01,6
Aggravated Assault,ASSAULT - AGGRAVATED,2020-03-01,6
Aggravated Assault,ASSAULT - AGGRAVATED,2020-04-01,2
Aggravated Assault,ASSAULT - AGGRAVATED,2020-05-01,3
Aggravated Assault,ASSAULT - AGGRAVATED,2020-06-01,2
Aggravated Assault,ASSAULT - AGGRAVATED,2020-07-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2020-08-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2020-09-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2020-10-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2020-11-01,3
Aggravated Assault,ASSAULT - AGGRAVATED,2020-12-01,5
Aggravated Assault,ASSAULT - AGGRAVATED,2021-01-01,6
Aggravated Assault,ASSAULT - AGGRAVATED,2021-02-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2021-03-01,2
Aggravated Assault,ASSAULT - AGGRAVATED,2021-04-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2021-05-01,6
Aggravated Assault,ASSAULT - AGGRAVATED,2021-06-01,6
Aggravated Assault,ASSAULT - AGGRAVATED,2021-07-01,5
Aggravated Assault,ASSAULT - AGGRAVATED,2021-08-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2021-09-01,3
Aggravated Assault,ASSAULT - AGGRAVATED,2021-10-01,6
Aggravated Assault,ASSAULT - AGGRAVATED,2021-11-01,6
Aggravated Assault,ASSAULT - AGGRAVATED,2021-12-01,5
Aggravated Assault,ASSAULT - AGGRAVATED,2022-01-01,9
Aggravated Assault,ASSAULT - AGGRAVATED,2022-02-01,3
Aggravated Assault,ASSAULT - AGGRAVATED,2022-03-01,10
Aggravated Assault,ASSAULT - AGGRAVATED,2022-04-01,8
Aggravated Assault,ASSAULT - AGGRAVATED,2022-05-01,3
Aggravated Assault,ASSAULT - AGGRAVATED,2022-06-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2022-07-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2022-08-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2022-09-01,6
Aggravated Assault,ASSAULT - AGGRAVATED,2022-10-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2022-11-01,7
Aggravated Assault,ASSAULT - AGGRAVATED,2022-12-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2023-01-01,5
Aggravated Assault,ASSAULT - AGGRAVATED,2023-02-01,4
Aggravated Assault,ASSAULT - AGGRAVATED,2023-03-01,1
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2015-01-01,11
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2015-02-01,6
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2015-03-01,17
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2015-04-01,13
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2015-05-01,8
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2015-06-01,15
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2015-07-01,14
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2015-08-01,10
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2015-09-01,17
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2015-10-01,13
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2015-11-01,7
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2015-12-01,13
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2016-01-01,11
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2016-02-01,8
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2016-03-01,9
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2016-04-01,11
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2016-05-01,16
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2016-06-01,13
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2016-07-01,12
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2016-08-01,6
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2016-09-01,9
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2016-10-01,9
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2016-11-01,15
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2016-12-01,15
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2017-01-01,10
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2017-02-01,8
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2017-03-01,7
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2017-04-01,9
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2017-05-01,6
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2017-06-01,9
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2017-07-01,11
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2017-08-01,9
Aggravated Assault,ASSAULT - SIMPLE PHYSICAL (NON-AGGRAVATED),2017-09-01,8
